City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,dudinka,69.4058,86.1778,-7.96,97,100,1.79,RU,1698212870
161,alofi,-19.0595,-169.9187,22.94,64,73,7.2,NU,1698212870
162,suva,-18.1416,178.4415,25.71,69,75,4.12,FJ,1698212871
163,robore,-18.3333,-59.75,24.83,62,77,1.78,BO,1698212871
164,qaqortoq,60.7167,-46.0333,0.03,51,0,2.48,GL,1698212773
165,trairi,-3.2778,-39.2689,24.5,84,29,3.83,BR,1698212688
166,kruisfontein,-34.0033,24.7314,16.82,54,7,1.47,ZA,1698212871
167,altay,47.8667,88.1167,8.18,27,46,1.51,CN,1698212871
168,santa ana,33.7456,-117.8678,19.61,84,75,2.06,US,1698212621
169,tazovsky,67.4667,78.7,-6.36,92,66,1.74,RU,1698212871
170,kapa'a,22.0752,-159.319,26.99,74,100,3.09,US,1698212871
171,pihuamo,19.2499,-103.3828,20.6,88,84,1.5,MX,1698212872
172,olonkinbyen,70.9221,-8.7187,3.0,92,100,3.52,SJ,1698212872
173,mount isa,-20.7333,139.5,37.87,11,0,5.66,AU,1698212872
174,okhotsk,59.3833,143.3,-5.69,79,11,5.21,RU,1698212872
175,coracora,-15.0333,-73.7833,11.96,71,80,1.68,PE,1698212622
176,tonganoxie,39.1097,-95.0878,18.16,98,100,2.57,US,1698212872
177,holualoa,19.6228,-155.9522,24.91,80,0,4.12,US,1698212622
178,hailey,43.5196,-114.3153,5.18,67,100,2.06,US,1698212872
179,zaragoza,41.6561,-0.8773,16.25,70,20,5.14,ES,1698212584
180,carnarvon,-24.8667,113.6333,24.76,56,0,7.15,AU,1698212622
181,wynyard,-41.0,145.7167,8.65,66,80,6.11,AU,1698212632
182,saipan,15.1355,145.701,31.39,74,40,6.17,MP,1698212873
183,portland,45.5234,-122.6762,9.97,94,100,3.6,US,1698212226
184,pavlodar,52.3,76.95,8.89,53,40,10.0,KZ,1698212873
185,punto fijo,11.6956,-70.1996,29.17,75,95,5.47,VE,1698212873
186,east ballina,-28.8667,153.5833,36.0,63,0,11.26,AU,1698212873
187,nemuro,43.3236,145.575,13.98,82,12,3.76,JP,1698212873
188,campos gerais,-21.235,-45.7586,19.96,86,95,2.99,BR,1698212873
189,namsos,64.4662,11.4957,3.03,87,0,3.09,NO,1698212624
190,kitimat,54.0524,-128.6534,0.21,66,0,1.79,CA,1698212874
191,gaya,24.7833,85.0,27.95,57,5,0.0,IN,1698212874
192,gwadar,25.1216,62.3254,28.07,64,1,1.9,PK,1698212874
193,kodiak,57.79,-152.4072,-0.27,80,0,1.54,US,1698212734
